response.id,prog.prof,prog.comf,math.prof,math.comf,stat.prof,stat.comf,updv.num,dom,consent,"PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT174, CS9","PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT160A-B, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT174, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT126, PSTAT131, PSTAT134","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT127, PSTAT131, PSTAT134, PSTAT174, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT160A-B, CS9, CS16, ECE180","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT160A-B, CS9, CS16","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT174, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT174, CS16","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT127, PSTAT131, PSTAT134, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131","PSTAT120A-B, PSTAT126, PSTAT160A-B, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT160A-B, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, CS9","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, CS5A-B, CS9","PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, PSTAT174, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT127, PSTAT131, PSTAT134, PSTAT160A-B, PSTAT174, PSTAT175","PSTAT120A-B, PSTAT160A-B, CS16, CS130A-B, CS165A-B","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, PSTAT174, CS9","PSTAT100, PSTAT120A-B, PSTAT126","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, CS9, LING110, ECE180","PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT174, CS5A-B, CS9","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, CS9","PSTAT120A-B, PSTAT122, PSTAT126, CS9","PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT174, CS16","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, CS9","PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, CS9, CS16","PSTAT100, PSTAT115, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT160A-B, CS9, ECON145","PSTAT100, PSTAT120A-B, PSTAT122, PSTAT126, PSTAT131, PSTAT134, PSTAT160A-B, CS9",rsrch
2,Adv,5,Adv,4,Adv,5,6-8,Yes,Yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
3,Int,4,Adv,5,Adv,5,9+,Yes,Yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
4,Adv,4,Adv,4,Adv,5,9+,Unsure,Yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
5,Adv,5,Adv,5,Adv,4,3-5,No,Yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
6,Int,4,Adv,5,Adv,5,9+,Yes,Yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
7,Int,4,Int,3,Int,3,9+,No,Yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
8,Adv,5,Adv,4,Adv,4,6-8,No,Yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
9,Int,4,Int,4,Adv,5,9+,No,Yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
10,Int,4,Int,3,Int,4,9+,No,Yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
11,Int,3,Adv,3,Adv,4,6-8,No,Yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
12,Int,3,Int,3,Int,2,3-5,No,Yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
13,Int,4,Adv,5,Int,4,9+,Unsure,Yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
14,Int,4,Adv,5,Int,4,9+,Yes,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
15,Int,3,Adv,4,Adv,4,9+,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
16,Int,4,Int,4,Adv,5,6-8,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TRUE
17,Adv,5,Int,3,Int,5,6-8,No,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,FALSE
